MOL_ID,Molecule_Name,MW,AlogP,Hdon,Hacc,OB,Caco2,BBB,DL,FASA,HL,RT
MOL000892,TNP00001,368.41,3.22,2,6,4.37,0.35,-0.49,0.41,0.30,,
MOL000893,difurocumenone,444.66,6.74,0,3,8.86,1.21,0.85,0.61,0.23,,
MOL000894,turmerone,222.41,4.63,0,1,32.98,1.33,1.44,0.06,0.29,4.87,
MOL000895,Zingiberene,204.39,5.08,0,0,18.80,1.91,2.01,0.06,0.30,,
MOL000896,13657-68-6,236.39,3.07,0,2,7.00,0.81,0.68,0.08,0.31,,
MOL000897,"(3S,3aR,8aR)-3,8a-dihydroxy-5-isopropylidene-3,8-dimethyl-1,2,3a,4-tetrahydroazulen-6-one",250.37,1.93,2,3,38.70,0.10,-0.32,0.12,0.35,8.60,
MOL000898,"(1S,6R,7R)-4-isopropylidene-1-methyl-7-(3-oxobutyl)norcaran-3-one",234.37,2.23,0,2,34.17,0.91,0.61,0.11,0.29,5.82,
MOL000899,Furanodiene,216.35,4.63,0,1,45.11,1.77,1.95,0.10,0.25,-1.17,
MOL000900,"(5R,6R)-5-isopropenyl-3,6-dimethyl-6-vinyl-5,7-dihydrobenzofuran-4-one",230.33,3.31,0,2,57.05,1.28,1.32,0.11,0.30,13.62,
MOL000901,BRN 3094585,234.37,3.27,1,2,87.82,1.14,1.29,0.13,0.25,9.11,
MOL000902,curcumol,236.39,2.79,1,2,103.55,1.12,1.23,0.13,0.25,9.38,
MOL000903,Gweicurculactone,228.31,3.26,0,2,42.92,1.37,1.25,0.14,0.35,1.87,
MOL000904,cineole,154.28,2.16,0,1,59.96,1.55,1.94,0.05,0.21,11.28,
MOL000905,()-beta-Pinene,136.26,2.93,0,0,44.77,1.85,2.29,0.05,0.28,11.32,
MOL000906,wenjine,282.37,2.06,1,5,47.93,0.30,0.30,0.27,0.34,5.10,
MOL000907,curcumalactone,236.39,3.86,0,2,18.47,1.25,1.40,0.10,0.31,,
MOL000908,beta-elemene,204.39,4.79,0,0,25.63,1.84,2.07,0.06,0.33,,
MOL000909,"(3S,4R)-3-isopropenyl-1-isopropyl-4-methyl-4-vinylcyclohexene",204.39,4.73,0,0,27.57,1.84,2.06,0.06,0.28,,
MOL000910,Germacron,218.37,4.33,0,1,32.50,1.33,1.53,0.07,0.33,7.22,
MOL000911,Terpilene,136.26,3.45,0,0,33.95,1.84,2.10,0.02,0.27,11.05,
MOL000912,(2S)-heptan-2-ol,116.23,2.26,1,1,23.49,1.14,1.30,0.01,0.21,,
MOL000913,tricyclene,136.26,2.30,0,0,36.11,1.80,2.22,0.07,0.25,11.36,
MOL000914,(5S)-1-isopropyl-4-methylbicyclo[3.1.0]hex-3-ene,136.26,2.87,0,0,47.13,1.81,2.14,0.04,0.29,11.44,
MOL000915,"(1S,10S),(4S,5S)-germacrone-1(10),4-diepoxide",264.35,1.16,0,4,30.48,0.61,0.69,0.18,0.27,4.03,
MOL000916,Car-3-ene,136.26,2.87,0,0,45.15,1.85,2.18,0.04,0.26,11.44,
MOL000917,cineole,154.28,2.16,0,1,59.96,1.55,1.97,0.05,0.21,11.28,
MOL000918,2-NONANONE,142.27,2.70,0,1,8.51,1.34,1.62,0.02,0.24,,
MOL000919,(S)-()-2-Nonanol,144.29,3.17,1,1,26.00,1.24,1.33,0.01,0.20,,
MOL000920,LINALOOL (D),154.28,2.74,1,1,38.29,1.29,1.33,0.02,0.32,6.29,
MOL000921,"(1S,4E,10S)-8-isopropylidene-1,5-dimethyl-11-oxabicyclo[8.1.0]undec-4-en-7-one",234.37,3.09,0,2,27.26,0.94,0.88,0.11,0.33,,
MOL000922,(R)-p-Menth-1-en-4-ol,154.28,2.55,1,1,32.16,1.33,1.52,0.03,0.26,11.39,
MOL000923,"ACETIC ACID,BORNYL ESTER",196.32,2.35,0,2,67.15,1.26,1.52,0.08,0.22,7.05,
MOL000924,Mnk,170.33,3.62,0,1,17.66,1.40,1.64,0.03,0.22,,
MOL000925,δ-elemene,204.39,4.73,0,0,21.47,1.86,2.14,0.06,0.30,,
MOL000926,cis-beta-farnesene,204.39,5.52,0,0,6.75,1.92,2.15,0.05,0.34,,
MOL000927,α-muurolene,204.39,4.75,0,0,17.24,1.88,2.09,0.08,0.25,,
MOL003127,Germacrene D,204.39,5.14,0,0,19.22,1.83,2.02,0.06,0.00,,
MOL000929,"(5S)-5-[(1R)-1,5-dimethylhex-4-enyl]-2-methylcyclohexa-1,3-diene",204.39,5.08,0,0,16.66,1.90,1.94,0.06,0.30,,
MOL000930,cis-.alpha.-Farnesene,204.39,5.46,0,0,8.15,1.92,1.85,0.05,0.35,,
MOL000931,Linderazulene,210.29,4.50,0,1,22.95,1.84,1.70,0.12,0.33,,
MOL000932,alpha-Farnesene,204.39,5.46,0,0,21.70,1.97,1.89,0.05,0.32,,
MOL000933,.gamma.-Bisabolene,204.39,5.47,0,0,20.78,1.94,1.98,0.06,0.28,,
MOL000934,β-seisquiphellandrene,204.39,5.14,0,0,7.46,1.91,2.05,0.06,0.30,,
MOL000935,Hepanal,204.39,4.36,0,0,53.83,1.86,2.17,0.10,0.24,11.92,
MOL000936,Germacrene B,204.39,5.47,0,0,18.69,1.89,2.07,0.06,0.29,,
MOL000937,58870_FLUKA,204.39,4.36,0,0,49.01,1.82,2.08,0.10,0.22,12.47,
MOL000938,calarene,204.39,4.12,0,0,51.55,1.82,2.05,0.11,0.23,-1.19,
MOL000939,"(1S,3E,7E,11S)-1,5,5,8-tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",220.39,3.80,0,1,34.37,1.58,1.76,0.10,0.30,3.80,
MOL000940,bisdemethoxycurcumin,308.35,3.26,2,4,77.38,0.49,-0.08,0.26,0.44,4.69,
MOL000941,Zingiberenol,222.41,4.18,1,1,31.43,1.31,1.22,0.07,0.27,4.17,
MOL000942,"(1R,4S,4aR,8aR)-4-isopropyl-1,6-dimethyl-3,4,4a,7,8,8a-hexahydro-2H-naphthalen-1-ol",222.41,3.78,1,1,31.67,1.32,1.30,0.09,0.24,6.87,
MOL000943,epi-10- .gamma.-Eudesmol,222.41,3.86,1,1,28.10,1.47,1.74,0.10,0.21,,
MOL000944,(6R)-2-methyl-6-(4-methylphenyl)hept-2-en-4-one,216.35,4.20,0,1,40.84,1.59,1.50,0.07,0.36,5.14,
